Replacement,Original
I,i
I'm,i'm
I've,i've
I'll,i'll
I'd,i'd
Monday,monday
Mondays,mondays
Tuesday,tuesday
Tuesdays,tuesdays
Wednesday,wednesday
Wednesdays,wednesdays
Thursday,thursday
Thursdays,thursdays
Friday,friday
Fridays,fridays
Saturday,saturday
Saturdays,saturdays
Sunday,sunday
Sundays,sundays
January,january
February,february
April,april
June,june
July,july
August,august
September,september
October,october
November,november
December,december
Grinshpun,grinshpun
Yakov,yakov
Vadim,vadim
Sofiya,sofiya
disk,disc
Nina,nina
Andrey,andrey
John,john
James,james
queues,cues
queue,cue
bytes,bites
byte,bite
add,ad
